Site ID,Program Code,Program Name,Address 1,Address 2,Zipcode,Program Type,Enrollment,Daily Start Time,Length of Pre-K Day,Early Drop-Off Available,Late Pick-Up Available,Meals,Playspace,Dual Language,Collaborative Teachers - Survey Percent Positive,Supportive Environment - Survey Percent Positive,Effective School Leadership - Survey Percent Positive,Strong Family-Community Ties - Survey Percent Positive,Trust - Survey Percent Positive,Survey - Number of Guardian Responses,Survey - Guardian Response Rate,CLASS Most Recent Assessment Year,CLASS Emotional Support Score,CLASS Emotional Support Rating,CLASS Classroom Organization Score,CLASS Classroom Organization Rating,CLASS Instructional Support Score,CLASS Instructional Support Rating,ECERS Most Recent Assessment Year,ECERS Observation Average Score,ECERS Observation Average Rating,ECERS Language Reasoning Score,ECERS Language Reasoning Rating,ECERS Interaction Score,ECERS Interaction Rating,ECERS Activities Score,ECERS Activities Rating,ECERS Personal Care Routines Score,ECERS Personal Care Routines Rating,ECERS Space and Furnishings Score,ECERS Space and Furnishings Rating,ECERS Program Structure Score,ECERS Program Structure Rating,Total.ECERS,Quality Review - Date of Review,Quality Review - How well do teachers work with each other?
11X357,11X357,Young Voices Academy of the Bronx,800 Lydig Avenue,"Bronx, NY 10462",10462,District School,36,8:30 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,97%,99%,100%,94%,98%,31,91%,2015-16 School Year,6.5,4,5.9,3,3.3,3,2013-14 School Year,2.9,1,2.5,1,4.4,3,2.6,1,2.5,3,3.1,2,1.7,1,31.7,"January 16, 2015",3
Z037,11Z037,Pre-K Center at P.S. 357 Young Voices Academy of the Bronx,800 Lydig Avenue,"Bronx, NY 10462",10462,Pre-K Center,72,8:10 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch,Indoor/Outdoor (offsite) playspace,,NA,97%,98%,96%,98%,44,67%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,4.9,3,4.5,3,5.8,4,6.3,4,2.7,3,4.6,3,4.3,3,56.1,,
Z038,11Z038,Pre-K Center at 1684 White Plains Road,1684 White Plains Road,"Bronx, NY 10462",10462,Pre-K Center,36,8:20 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,NA,98%,98%,95%,95%,23,64%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,4.4,3,5.8,4,5.8,4,5.1,4,3,3,3.4,3,3.7,3,55.2,,
Z039,11Z039,Pre-K Center at 4520 Matilda Avenue,4520 Matilda Avenue,"Bronx, NY 10470",10470,Pre-K Center,21,8:20 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,NA,100%,91%,99%,100%,9,45%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,4.4,3,6,4,6.8,4,5,4,2.5,3,3.9,3,1.7,1,52.3,,
11X567,11X567,Linden Tree Elementary School,1560 Purdy Street,"Bronx, NY 10462",10462,District School,18,8:00 AM,6 hr 20 mins,Yes,No,Breakfast/Lunch,Indoor/Outdoor (offsite) playspace,,79%,100%,100%,98%,100%,7,41%,2015-16 School Year,6.8,4,6.3,4,3.7,3,2014-15 School Year,4.2,3,5.3,4,6.2,4,4,3,2.8,3,3.9,3,3.3,2,51.7,"November 14, 2014",3
12X006,12X006,P.S. 6 West Farms,1000 East Tremont Avenue,"Bronx, NY 10460",10460,District School,60,8:00 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,74%,89%,88%,90%,93%,13,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,3.5,3,5,4,5.2,4,3.2,2,2.2,2,3.3,2,3.3,2,44.7,"January 23, 2015",2
12X044,12X044,P.S. 44 David C. Farragut,1825 Prospect Avenue,"Bronx, NY 10457",10457,District School,21,8:15 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (offsite) playspace,,51%,N/A,N/A,N/A,N/A,4,25%,2014-15 School Year,5.5,3,5.1,3,2.9,2,2015-16 School Year,3.4,3,4.5,3,3.2,2,4,3,2.5,3,3,2,3.7,3,43.3,"November 18, 2014",3
12X057,12X057,P.S. 57 Crescent,2111 Crotona Avenue,"Bronx, NY 10457",10457,District School,29,8:00 AM,6 hr 20 mins,Yes,No,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,78%,98%,98%,96%,97%,10,36%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,3.3,2,4.3,3,4.2,3,4,3,1.3,1,3.5,3,1.7,1,38.3,"December 11, 2015",2
12X061,12X061,P.S. 61 Francisco Oller,1550 Crotona Park East,"Bronx, NY 10460",10460,District School,26,Contact program about start time,6 hr 20 mins,Contact program about extended hours,Contact program about extended hours,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,72%,100%,96%,95%,97%,6,23%,2014-15 School Year,5.9,3,6.1,4,3.2,2,2015-16 School Year,2.9,1,5.3,4,3,2,3,2,1.7,2,2.8,1,1.7,1,33.4,"November 14, 2014",3
12X066,12X066,P.S. 66 School of Higher Expectations,1001 Jennings Street,"Bronx, NY 10460",10460,District School,69,8:00 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,75%,99%,100%,96%,100%,24,39%,2015-16 School Year,6.4,4,6.3,4,3.2,2,2014-15 School Year,4.6,3,4.8,3,5.4,4,5.6,4,2.2,2,4.1,3,5.3,4,55,"December 2, 2014",3
12X067,12X067,P.S. 67 Mohegan School,2024 Mohegan Avenue,"Bronx, NY 10460",10460,District School,58,8:00 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,66%,100%,100%,95%,100%,5,10%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"May 6, 2015",3
12X092,12X092,P.S. 92 Bronx,700 East 179th Street,"Bronx, NY 10457",10457,District School,36,8:00 AM,6 hr 20 mins,Yes,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,76%,100%,95%,97%,98%,23,66%,2015-16 School Year,6.4,4,6.4,4,3.6,3,2014-15 School Year,3.2,2,4,3,2.4,1,3.6,3,2.3,3,3.1,2,3.8,3,39.4,"May 24, 2016",2
12X134,12X134,P.S. 134 George F. Bristow,1330 Bristow Street,"Bronx, NY 10459",10459,District School,51,8:15 AM,6 hr 20 mins,Yes,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,68%,98%,98%,97%,99%,34,72%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"January 23, 2015",4
12X150,12X150,P.S. 150 Charles James Fox,920 East 167th Street,"Bronx, NY 10459",10459,District School,36,8:00 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,83%,90%,93%,94%,89%,17,49%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"March 16, 2015",3
12X195,12X195,P.S. 195,1250 Ward Avenue,"Bronx, NY 10472",10472,District School,36,8:00 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,68%,90%,95%,93%,92%,21,58%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,3.9,3,4.8,3,4.4,3,5,4,1.5,2,3.8,3,3.7,3,48.1,"March 4, 2015",2
12X196,12X196,P.S. 196,1250 Ward Avenue,"Bronx, NY 10472",10472,District School,36,8:00 AM,6 hr 20 mins,No,No,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,67%,98%,98%,97%,98%,34,97%,2015-16 School Year,7.0,4,6.9,4,3.5,3,2014-15 School Year,4.5,3,5.5,4,5.8,4,5.3,4,2.2,2,4.3,3,3.7,3,54.3,"March 23, 2015",3
12X211,12X211,P.S. 211,1919 Prospect Avenue,"Bronx, NY 10457",10457,District School,35,8:00 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,74%,94%,78%,88%,90%,23,68%,2015-16 School Year,6.4,4,5.7,3,2.3,2,2014-15 School Year,3.4,3,3.8,3,2.8,1,4.4,3,1.8,2,3.6,3,2.7,1,38.5,"January 21, 2015",2
12X212,12X212,P.S. 212,1180 Tinton Avenue,"Bronx, NY 10456",10456,District School,32,8:00 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,74%,98%,96%,96%,100%,10,33%,2014-15 School Year,5.9,3,5.1,3,2.5,2,2014-15 School Year,3.3,2,5.3,4,2.2,1,3.8,3,2,2,3.3,2,3.3,2,39.2,17-Apr-15,3
12X214,12X214,P.S. 214,1970 West Farms Road,"Bronx, NY 10460",10460,District School,76,8:00 AM,6 hr 20 mins,Yes,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,72%,99%,95%,95%,97%,41,56%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,3.4,3,4.5,3,4.2,3,4.4,3,1.3,1,2.6,1,4,3,41.4,"December 10, 2014",4
12X300,12X300,The School of Science and Applied Learning,2050 Prospect Avenue,"Bronx, NY 10457",10457,District School,18,8:00 AM,6 hr 20 mins,Yes,No,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,85%,100%,100%,97%,100%,6,33%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"January 29, 2015",2
12X314,12X314,Fairmont Neighborhood School,1550 Vyse Avenue,"Bronx, NY 10460",10460,District School,31,8:00 AM,6 hr 20 mins,Yes,No,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,61%,94%,95%,94%,94%,28,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,14-May-15,3
12X458,12X458,Samara Community School,1550 Vyse Avenue,"Bronx, NY 10460",10460,District School,30,8:20 AM,6 hr 20 mins,No,No,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,Dual Language (Spanish),94%,90%,89%,93%,90%,26,87%,2015-16 School Year,6.2,4,5.9,3,2.5,2,2014-15 School Year,3.1,2,3.8,3,1.2,1,4.7,3,2,2,2.9,1,2.7,1,33.4,6-May-15,4
12X463,12X463,Urban Scholars Community School,1180 Tinton Avenue,"Bronx, NY 10456",10456,District School,25,8:00 AM,6 hr 20 mins,Yes,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,83%,89%,98%,94%,98%,9,43%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,2.9,1,3,2,4.6,3,2,1,1.8,2,3.4,3,3.3,2,35,"May 13, 2016",3
12X531,12X531,Archer Elementary School,1827 Archer Street,"Bronx, NY 10460",10460,District School,18,Contact program about start time,6 hr 20 mins,Contact program about extended hours,Contact program about extended hours,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,80%,95%,98%,97%,98%,9,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,4.9,3,5.3,4,5.2,4,5.8,4,3,3,5,4,4.3,3,58.5,"January 29, 2015",3
12X536,12X536,P.S. 536,1827 Archer Street,"Bronx, NY 10460",10460,District School,18,8:30 AM,6 hr 20 mins,Yes,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,93%,90%,97%,90%,98%,7,39%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,4.6,3,5.8,4,6,4,4.2,3,2.5,3,4.5,3,6,4,57.6,"May 11, 2016",4
12X691,12X691,Bronx Little School,1827 Archer Street,"Bronx, NY 10460",10460,District School,17,8:00 AM,6 hr 20 mins,No,No,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,88%,98%,100%,100%,96%,8,47%,2015-16 School Year,6.3,4,6.6,4,2.9,2,2014-15 School Year,4.3,3,4.5,3,3.6,3,5.3,4,1.8,2,4.3,3,6,4,51.8,"February 12, 2015",3
13K003,13K003,P.S. 3 The Bedford Village,50 Jefferson Avenue,"Brooklyn, NY 11216",11216,District School,67,8:15 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,76%,94%,89%,91%,95%,32,54%,2015-16 School Year,6.5,4,6.6,4,3.5,3,2014-15 School Year,3.9,3,5.8,4,5.4,4,3.2,2,3,3,3.8,3,3.7,3,50.8,"November 3, 2014",3
13K009,13K009,P.S. 9 Teunis G. Bergen,80 Underhill Avenue,"Brooklyn, NY 11238",11238,District School,90,8:20 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,Dual Language (Spanish),85%,96%,88%,93%,92%,45,52%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"January 15, 2015",3
13K011,13K011,P.S. 11 Purvis J. Behan,419 Waverly Avenue,"Brooklyn, NY 11238",11238,District School,72,8:20 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,87%,96%,91%,95%,94%,59,84%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"November 24, 2014",4
13K020,13K020,P.S. 20 Clinton Hill,225 Adelphi Street,"Brooklyn, NY 11205",11205,District School,54,8:20 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,88%,99%,99%,97%,99%,30,60%,2014-15 School Year,6.4,4,5.5,3,2.8,2,2015-16 School Year,4.5,3,6.3,4,5.2,4,5.2,4,2.3,3,3.9,3,4.3,3,55.7,"January 8, 2015",3
13K044,13K044,P.S. 44 Marcus Garvey,432 Monroe Street,"Brooklyn, NY 11221",11221,District School,26,8:20 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,83%,89%,78%,82%,77%,5,23%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,4.5,3,5.5,4,5.2,4,4.5,3,3.5,3,3.9,3,6,4,57.1,"March 1, 2016",3
13K046,13K046,P.S. 46 Edward C. Blum,100 Clermont Avenue,"Brooklyn, NY 11205",11205,District School,44,8:00 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,87%,98%,93%,96%,93%,32,76%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"January 21, 2015",4
13K054,13K054,P.S. 54 Samuel C. Barnes,195 Sandford Street,"Brooklyn, NY 11205",11205,District School,24,8:20 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,81%,98%,93%,93%,96%,9,38%,2014-15 School Year,6.4,4,5.9,3,2.4,2,2015-16 School Year,2.9,1,3.8,3,4.4,3,3,2,1.8,2,2.5,1,1.7,1,33.1,"November 18, 2014",3
13K056,13K056,P.S. 56 Lewis H. Latimer,170 Gates Avenue,"Brooklyn, NY 11238",11238,District School,13,8:20 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,89%,100%,98%,98%,97%,12,92%,2015-16 School Year,5.8,3,5.8,3,3.3,3,2014-15 School Year,3.9,3,4.5,3,4,3,4.1,3,3,3,4.1,3,3.7,3,48.3,"April 8, 2016",2
13K067,13K067,P.S. 67 Charles A. Dorsey,51 Saint Edwards Street,"Brooklyn, NY 11205",11205,District School,17,Contact program about start time,6 hr 20 mins,Contact program about extended hours,Contact program about extended hours,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,89%,94%,94%,94%,94%,17,100%,2015-16 School Year,6.9,4,6.3,4,2.4,2,2014-15 School Year,3.9,3,4.3,3,5.4,4,3.6,3,2.7,3,4,3,4.3,3,50.2,"March 15, 2016",3
13K093,13K093,P.S. 93 William H. Prescott,31 New York Avenue,"Brooklyn, NY 11216",11216,District School,33,Contact program about start time,6 hr 20 mins,Contact program about extended hours,Contact program about extended hours,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,80%,96%,95%,95%,98%,22,88%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"December 2, 2014",3
13K133,13K133,P.S. 133 William A. Butler,610 Baltic Street,"Brooklyn, NY 11217",11217,District School,65,8:20 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,Dual Language (Spanish),85%,99%,92%,92%,97%,45,68%,2014-15 School Year,5.9,3,5.6,3,4.7,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"January 6, 2015",3
13K256,13K256,P.S. 256 Benjamin Banneker,114 Kosciusko Street,"Brooklyn, NY 11216",11216,District School,16,8:20 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,74%,94%,89%,91%,91%,7,47%,2015-16 School Year,6.3,4,6.0,4,3.1,2,2014-15 School Year,2.6,1,1.8,1,1,1,2.7,1,3,3,3.4,3,2.8,1,28.3,"January 26, 2016",3
13K270,13K270,P.S. 270 Johann Dekalb,241 Emerson Place,"Brooklyn, NY 11205",11205,District School,20,8:20 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,63%,100%,96%,100%,100%,5,29%,2015-16 School Year,6.4,4,6.3,4,2.5,2,2014-15 School Year,3.4,3,4.3,3,4.8,3,2.6,1,3,3,4,3,1.7,1,40.8,"May 5, 2015",2
13K282,13K282,P.S. 282 Park Slope,180 6 Avenue,"Brooklyn, NY 11217",11217,District School,62,8:20 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Outdoor (onsite) playspace,,79%,98%,94%,92%,92%,17,31%,2015-16 School Year,6.8,4,6.8,4,3.7,3,2014-15 School Year,3,2,4,3,3,2,2.9,1,2.2,2,3,2,4,3,37.1,"March 25, 2015",3
13K287,13K287,P.S. 287 Bailey K. Ashford,50 Navy Street,"Brooklyn, NY 11201",11201,District School,29,8:20 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,87%,95%,93%,94%,96%,23,88%,2015-16 School Year,6.9,4,6.7,4,2.1,2,2014-15 School Year,4.5,3,5.3,4,6.2,4,3.7,3,4.2,4,4.1,3,4.8,3,56.8,"November 19, 2015",3
13K305,13K305,P.S. 305 Dr. Peter Ray,344 Monroe Street,"Brooklyn, NY 11216",11216,District School,13,8:10 AM,6 hr 20 mins,No,No,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,53%,97%,91%,97%,86%,6,55%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,3.8,3,4.5,3,5.4,4,3.9,3,2.3,3,3.1,2,4.3,3,48.3,"October 28, 2014",3
13K307,13K307,P.S. 307 Daniel Hale Williams,209 York Street,"Brooklyn, NY 11201",11201,District School,36,8:00 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,71%,98%,82%,95%,89%,11,31%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"December 18, 2014",4
14K016,14K016,P.S. 16 Leonard Dunkly,157 Wilson Street,"Brooklyn, NY 11211",11211,District School,12,Contact program about start time,6 hr 20 mins,Contact program about extended hours,Contact program about extended hours,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,97%,98%,96%,98%,100%,9,82%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"February 9, 2015",3
14K017,14K017,P.S. 17 Henry D. Woodworth,208 North 5 Street,"Brooklyn, NY 11211",11211,District School,22,8:00 AM,6 hr 20 mins,Yes,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,87%,100%,98%,98%,100%,12,55%,2015-16 School Year,6.8,4,6.5,4,2.9,2,2014-15 School Year,2.3,1,1.8,1,1.8,1,2.6,1,1.8,2,2.8,1,2.3,1,23.4,"November 13, 2015",3
14K018,14K018,P.S. 18 Edward Bush,101 Maujer Street,"Brooklyn, NY 11206",11206,District School,22,8:00 AM,6 hr 20 mins,Yes,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,88%,100%,100%,96%,100%,11,55%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"February 12, 2015",3
14K023,14K023,P.S. 23 Carter G. Woodson,545 Willoughby Avenue,"Brooklyn, NY 11206",11206,District School,35,8:00 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,96%,97%,98%,98%,97%,30,81%,2014-15 School Year,6.3,4,5.5,3,2.7,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"February 26, 2015",3
14K031,14K031,P.S. 31 Samuel F. Dupont,75 Meserole Avenue,"Brooklyn, NY 11222",11222,District School,88,8:10 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Indoor,,87%,98%,97%,97%,99%,57,64%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"November 17, 2014",3
14K034,14K034,P.S. 34 Oliver H. Perry,131 Norman Avenue,"Brooklyn, NY 11222",11222,District School,18,Contact program about start time,6 hr 20 mins,Contact program about extended hours,Contact program about extended hours,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,87%,92%,98%,98%,99%,12,71%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"February 12, 2015",4
14K059,14K059,P.S. 59 William Floyd,211 Throop Avenue,"Brooklyn, NY 11206",11206,District School,34,8:00 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,93%,85%,86%,82%,85%,14,50%,2014-15 School Year,5.4,3,5.5,3,2.6,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"March 16, 2015",3
14K084,14K084,P.S. 84 Jose De Diego,250 Berry Street,"Brooklyn, NY 11211",11211,District School,71,8:20 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,85%,97%,92%,92%,91%,39,56%,2015-16 School Year,6.6,4,6.6,4,3.2,2,2014-15 School Year,2.5,1,2,1,3.4,3,2.8,1,1.2,1,2.8,1,2.5,1,26.2,"October 30, 2014",4
14K110,14K110,P.S. 110 The Monitor,124 Monitor Street,"Brooklyn, NY 11222",11222,District School,89,8:10 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,90%,99%,98%,96%,99%,85,97%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,2.7,1,3.8,3,3.2,2,2.6,1,2,2,2.4,1,2.7,1,30.4,"May 18, 2016",3
14K120,14K120,P.S. 120 Carlos Tapia,18 Beaver Street,"Brooklyn, NY 11206",11206,District School,52,Contact program about start time,6 hr 20 mins,Contact program about extended hours,Contact program about extended hours,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,95%,95%,93%,96%,93%,32,64%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,4.5,3,4.5,3,6.4,4,4.4,3,3.3,3,3.6,3,5.5,4,55.2,"January 20, 2016",4
14K132,14K132,P.S. 132 The Conselyea School,320 Manhattan Avenue,"Brooklyn, NY 11211",11211,District School,71,8:00 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,85%,99%,91%,94%,93%,39,55%,2015-16 School Year,6.5,4,6.5,4,3.6,3,2014-15 School Year,4.3,3,6.3,4,7,4,4.4,3,1.7,2,3.8,3,3.3,2,51.8,"January 7, 2016",4
14K147,14K147,P.S. 147 Isaac Remsen,325 Bushwick Avenue,"Brooklyn, NY 11206",11206,District School,47,8:00 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,91%,97%,95%,97%,95%,32,73%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"January 9, 2015",4
14K157,14K157,P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,850 Kent Avenue,"Brooklyn, NY 11205",11205,District School,28,8:00 AM,6 hr 20 mins,No,No,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,76%,98%,81%,94%,86%,11,42%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,4.4,3,6,4,6.8,4,4.5,3,2.7,3,3.4,3,4.3,3,55.1,"December 4, 2014",3
14K196,14K196,P.S. 196 Ten Eyck,207 Bushwick Avenue,"Brooklyn, NY 11206",11206,District School,35,8:00 AM,6 hr 20 mins,Yes,No,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,92%,100%,97%,98%,99%,15,41%,2015-16 School Year,6.7,4,6.7,4,4.4,3,2014-15 School Year,1.9,1,1.5,1,1.8,1,1.9,1,1.2,1,2.8,1,1.7,1,19.8,"January 5, 2016",4
14K250,14K250,P.S. 250 George H. Lindsay,108 Montrose Avenue,"Brooklyn, NY 11206",11206,District School,36,8:00 AM,6 hr 20 mins,Yes,No,Breakfast/Lunch,Outdoor (onsite) playspace,,75%,100%,100%,98%,100%,12,35%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"January 12, 2015",3
14K257,14K257,P.S. 257 John F. Hylan,60 Cook Street,"Brooklyn, NY 11206",11206,District School,60,8:00 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,100%,94%,98%,95%,97%,47,77%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"February 26, 2015",3
