Site ID,Program Code,Program Name,Address 1,Address 2,Zipcode,Program Type,Enrollment,Daily Start Time,Length of Pre-K Day,Early Drop-Off Available,Late Pick-Up Available,Meals,Playspace,Dual Language,Collaborative Teachers - Survey Percent Positive,Supportive Environment - Survey Percent Positive,Effective School Leadership - Survey Percent Positive,Strong Family-Community Ties - Survey Percent Positive,Trust - Survey Percent Positive,Survey - Number of Guardian Responses,Survey - Guardian Response Rate,CLASS Most Recent Assessment Year,CLASS Emotional Support Score,CLASS Emotional Support Rating,CLASS Classroom Organization Score,CLASS Classroom Organization Rating,CLASS Instructional Support Score,CLASS Instructional Support Rating,ECERS Most Recent Assessment Year,ECERS Observation Average Score,ECERS Observation Average Rating,ECERS Language Reasoning Score,ECERS Language Reasoning Rating,ECERS Interaction Score,ECERS Interaction Rating,ECERS Activities Score,ECERS Activities Rating,ECERS Personal Care Routines Score,ECERS Personal Care Routines Rating,ECERS Space and Furnishings Score,ECERS Space and Furnishings Rating,ECERS Program Structure Score,ECERS Program Structure Rating,Total.ECERS,Quality Review - Date of Review,Quality Review - How well do teachers work with each other?
01M184,01M184,P.S. 184 Shuang Wen,327 Cherry Street,"New York, NY 10002",10002,District School,36,8:20 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,65%,95%,87%,95%,91%,28,80%,2015-16 School Year,6.8,4,6.6,4,2,2,2014-15 School Year,2.8,1,4,3,3.4,3,2.9,1,1.5,2,2.8,1,3,2,33.4,,
01M188,01M188,P.S. 188 The Island School,442 East Houston Street,"New York, NY 10002",10002,District School,31,8:30 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,Dual Language (Spanish),100%,100%,100%,100%,100%,22,73%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"January 21, 2016",3
01M315,01M315,The East Village Community School,610 East 12th Street,"New York, NY 10009",10009,District School,36,8:30 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,79%,95%,99%,99%,99%,27,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,3.3,2,5.8,4,4.4,3,2.4,1,2.3,3,2.9,1,3.7,3,41.8,"May 5, 2016",3
01M361,01M361,The Children's Workshop School,610 East 12th Street,"New York, NY 10009",10009,District School,33,Contact program about start time,6 hr 20 mins,Contact program about extended hours,Contact program about extended hours,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,89%,98%,95%,94%,96%,13,42%,2014-15 School Year,6.4,4,5.8,3,3.1,2,2014-15 School Year,4,3,5,4,4.8,3,4.3,3,3.2,3,3.6,3,3.5,3,50.4,"May 10, 2016",3
01M363,01M363,Neighborhood School,121 East 3rd Street,"New York, NY 10009",10009,District School,16,8:25 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,85%,100%,100%,95%,100%,7,44%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,3.3,2,4.8,3,4.2,3,4.2,3,1.5,2,2.3,1,3.3,2,39.6,"April 1, 2015",3
01M364,01M364,Earth School,600 East 6th Street,"New York, NY 10009",10009,District School,36,8:30 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,97%,95%,94%,89%,87%,21,58%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,2.7,1,3,2,2.8,1,3.1,2,1.5,2,2.4,1,3.5,3,31,3-Mar-15,4
02M001,02M001,P.S. 1 Alfred E. Smith,8 Henry Street,"New York, NY 10038",10038,District School,28,8:15 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,83%,92%,96%,94%,98%,10,38%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,3.3,2,5,4,2.2,1,4.2,3,1.8,2,2.5,1,4.3,3,39.3,"May 13, 2016",3
02M002,02M002,P.S. 2 Meyer London,122 Henry Street,"New York, NY 10002",10002,District School,21,8:15 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch,Outdoor (onsite) playspace,,79%,100%,100%,100%,100%,15,71%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,3.4,3,4.8,3,4.4,3,2.7,1,3,3,3.3,2,4,3,43.6,27-Mar-15,3
02M003,02M003,P.S. 3 Charrette School,490 Hudson Street,"New York, NY 10014",10014,District School,53,8:20 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,89%,95%,100%,94%,99%,23,43%,2014-15 School Year,5.3,3,6.1,4,2.4,2,2015-16 School Year,3.8,3,4.5,3,6,4,4.2,3,2.7,3,2.5,1,3.7,3,47.4,"October 29, 2015",3
02M006,02M006,P.S. 6 Lillie D. Blake,45 East 81 Street,"New York, NY 10028",10028,District School,N/A,8:15 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Outdoor (onsite) playspace,,83%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"May 17, 2016",4
02M011,02M011,P.S. 11 William T. Harris,320 West 21st Street,"New York, NY 10011",10011,District School,18,Contact program about start time,6 hr 20 mins,Contact program about extended hours,Contact program about extended hours,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,94%,N/A,N/A,N/A,N/A,1,6%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,12-May-15,4
02M033,02M033,P.S. 33 Chelsea Prep,281 Ninth Avenue,"New York, NY 10001",10001,District School,30,8:20 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,82%,99%,99%,97%,100%,15,52%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"May 6, 2016",4
02M040,02M040,P.S. 40 Augustus Saint-Gaudens,319 East 19th Street,"New York, NY 10003",10003,District School,36,8:20 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,95%,100%,100%,98%,100%,15,45%,2014-15 School Year,6.6,4,6.9,4,4.3,3,2014-15 School Year,4.7,3,5.3,4,5.8,4,4.8,3,2.7,3,5.1,4,5,4,58.4,"March 30, 2016",4
02M041,02M041,P.S. 41 Greenwich Village,116 West 11th Street,"New York, NY 10011",10011,District School,36,8:40 AM,6 hr 20 mins,Yes,Yes,Contact program directly for details,Please contact site for more information,,93%,98%,100%,100%,100%,9,26%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,3.6,3,5.5,4,4.6,3,3.3,2,2.2,2,3.6,3,2.7,1,43.5,"May 19, 2016",4
02M042,02M042,P.S. 42 Benjamin Altman,71 Hester Street,"New York, NY 10002",10002,District School,46,8:20 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,96%,98%,97%,96%,97%,39,89%,2015-16 School Year,6.8,4,6.6,4,2.4,2,2014-15 School Year,4.4,3,5.3,4,4.8,3,4.6,3,2.5,3,4.5,3,5.3,4,54.4,"May 15, 2015",3
02M051,02M051,P.S. 51 Elias Howe,525 West 44th Street,"New York, NY 10036",10036,District School,48,8:15 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,91%,96%,95%,93%,96%,37,80%,2015-16 School Year,6.1,4,5.9,3,1.7,1,2013-14 School Year,3.8,3,5.5,4,4.8,3,3.8,3,2.2,2,3.8,3,3.8,3,48.7,12-Dec-14,4
02M089,02M089,P.S. 89,201 Warren Street,"New York, NY 10282",10282,District School,36,8:40 AM,6 hr 20 mins,No,No,Contact program directly for details,Please contact site for more information,,91%,100%,98%,99%,100%,16,47%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,3.9,3,6.3,4,4.8,3,3.7,3,1.8,2,3.5,3,4.8,3,49.8,"March 24, 2015",3
02M111,02M111,P.S. 111 Adolph S. Ochs,440 West 53rd Street,"New York, NY 10019",10019,District School,37,8:20 AM,6 hr 20 mins,No,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,79%,99%,95%,97%,96%,22,67%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2015-16 School Year,3.3,2,3.3,2,4.8,3,2.6,1,2,2,4.1,3,3.3,2,38.4,9-Jan-15,3
02M116,02M116,P.S. 116 Mary Lindley Murray,210 East 33rd Street,"New York, NY 10016",10016,District School,47,Contact program about start time,6 hr 20 mins,Contact program about extended hours,Contact program about extended hours,Breakfast/Lunch,Outdoor (onsite) playspace,,92%,98%,98%,97%,97%,12,27%,2015-16 School Year,6.4,4,6.4,4,1.6,1,2014-15 School Year,3.8,3,5.3,4,5.4,4,3.9,3,2.3,3,3.1,2,3.7,3,49.5,7-May-15,4
02M124,02M124,P.S. 124 Yung Wing,40 Division Street,"New York, NY 10002",10002,District School,71,8:10 AM,6 hr 20 mins,Yes,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,72%,97%,94%,93%,97%,55,80%,2014-15 School Year,6.5,4,6.8,4,4.5,3,2015-16 School Year,4.9,3,6.5,4,6,4,5,4,3.6,3,4,3,5.5,4,60.5,20-Mar-15,3
02M126,02M126,P.S. 126 Jacob August Riis,80 Catherine Street,"New York, NY 10038",10038,District School,31,8:20 AM,6 hr 20 mins,No,No,Breakfast/Lunch,Indoor/Outdoor (offsite) playspace,,93%,100%,100%,99%,100%,8,28%,2015-16 School Year,6.1,4,6.4,4,2.1,2,2014-15 School Year,3.8,3,4.8,3,5.4,4,3.7,3,2.3,3,3.9,3,2.7,1,46.6,14-Nov-14,4
