"","X.zip_hs.","X.hs.","lon","lat"
"1","10002","Henry Street School for International Studies",-73.9860332,40.7134455
"2","10002","University Neighborhood High School",-73.9839547,40.7123149
"3","10009","East Side Community School",-73.982502,40.7293824
"4","10002","Marta Valle High School",-73.9856828,40.7205149
"5","10002","New Explorations into Science, Technology and Math",-73.9797222,40.7191667
"6","10002","Bard High School Early College",-73.9758571,40.7184646
"7","10010","47 The American Sign Language and English Secondar",-73.9812096,40.7382609
"8","10038","The Urban Assembly School for Emergency Management",-74.0013216,40.7110316
"9","10019","Stephen T. Mather Building Arts & Craftsmanship Hi",-73.9902785,40.7638485
"10","10003","M.S. 260 Clinton School Writers & Artists",-73.992405,40.736276
"11","10038","Manhattan Early College School for Advertising",-74.0012679,40.7112756
"12","10038","Urban Assembly Maker Academy",-74.0016572,40.7110242
"13","10019","Food and Finance High School",-73.9929852,40.7655929
"14","10002","Essex Street Academy",-73.989323,40.717321
"15","10019","High School of Hospitality Management",-73.9931625,40.7655356
"16","32571","Pace High School",-87.1551071,30.6147937
"17","10019","Urban Assembly School of Design and Construction,",-73.993163,40.765536
"18","10019","Facing History School, The",-73.9931625,40.7655356
"19","10002","Urban Assembly Academy of Government and Law, The",-73.9890891,40.7176287
"20","10002","Lower Manhattan Arts Academy",-73.9895323,40.7169645
"21","10004","Urban Assembly School of Business for Young Women,",-74.0128882,40.7054423
"22","10003","Gramercy Arts High School",-73.987228,40.7353879
"23","10013","NYC iSchool",-74.0048709,40.7244276
"24","10011","MANHATTAN BUSINESS ACADEMY",-74.0025475,40.7433678
"25","10019","Business Of Sports School",-73.9904866,40.7639937
"26","10003","The High School For Language And Diplomacy",-73.9870812,40.7353237
"27","10019","High School for Environmental Studies",-73.9881796,40.7679759
"28","10003","Institute for Collaborative Education",-73.9825764,40.7326759
"29","10036","Professional Performing Arts High School",-73.9884908,40.7615598
"30","10010","Baruch College Campus High School",-73.985909,40.7418485
"31","10011","N.Y.C. Lab School for Collaborative Studies",-74.0023709,40.7425709
"32","10010","School of the Future High School",-73.9853658,40.7390867
"33","10011","N.Y.C. Museum School",-74.0023709,40.7425709
"34","20770","Eleanor Roosevelt High School",-76.8694496,38.994039
"35","14802","Millennium High School",-112.3772714,33.4945373
"36","10011","Landmark High School",-74.0025077,40.7431223
"37","10003","High School for Health Professions and Human Servi",-73.9827222,40.7324847
"38","10011","Quest to Learn",-74.0025475,40.7433678
"39","10006","Leadership and Public Service High School",-74.0124334,40.7089611
"40","10016","MANHATTAN ACADEMY FOR ARTS & LANGUAGE",-73.981123,40.746433
"41","10011","Hudson High School of Learning Technologies",-74.0024232,40.7432238
"42","10003","International High School at Union Square",-73.9874804,40.7355088
"43","10010","Manhattan Village Academy",-73.9923147,40.7418899
"44","34475","Vanguard High School",-82.1371489,29.217367
"45","10065","Manhattan International High School",-73.9598154,40.7657337
"46","10282","Stuyvesant High School",-74.0138644,40.7177577
"47","10006","High School of Economics and Finance",-74.0123296,40.7092906
"48","10016","Unity Center for Urban Technologies",-73.9811631,40.7464213
"49","10019","Urban Assembly Gateway School for Technology",-73.9904866,40.7639937
"50","10065","Talent Unlimited High School",-73.9600658,40.7660749
"51","10038","Murry Bergtraum High School for Business Careers",-74.0019945,40.7113418
"52","10036","Jacqueline Kennedy Onassis High School",-73.9834084,40.7577928
"53","10036","Repertory Company High School for Theatre Arts",-73.9845066,40.7560912
"54","10003","Union Square Academy for Health Sciences",-73.9874171,40.7354911
"55","10011","Harvest Collegiate High School",-73.9954131,40.7365985
"56","10019","Manhattan Bridges High School",-73.9927375,40.7652446
"57","10002","New Design High School",-73.9896241,40.7169904
"58","10002","High School for Dual Language and Asian Studies",-73.989318,40.7173162
"59","10003","Academy for Software Engineering",-73.987478,40.735543
"60","11231","Urban Assembly New York Harbor School",-74.0204085,40.6907613
"61","10004","Richard R. Green High School of Teaching",-74.0129291,40.7054431
"62","10011","The High School of Fashion Industries",-73.9965165,40.7454593
"63","10013","Chelsea Career and Technical Education High School",-74.0048241,40.7245689
