"","X.zip.","X.ems.","lon","lat"
"83","10026","P.S. 149 Sojourner Truth",-73.9481659,40.8023813
"84","10025","P.S. 163 Alfred E. Smith",-73.9684479,40.7948887
"85","10025","P.S. 165 Robert E. Simon",-73.96595,40.802678
"86","10024","P.S. 166 The Richard Rodgers School of The Arts an",-73.9724552,40.788883
"87","10027","P.S. 180 Hugo Newman",-73.9560048,40.8079246
"88","10023","The Riverside School for Makers and Artists",-73.9900988,40.7728095
"89","10023","P.S. 199 Jessie Isador Straus",-73.9847365,40.7777661
"90","10026","The Alain L. Locke Magnet School for Environmental",-73.9503528,40.7982373
"91","10026","STEM Institute of Manhattan",-73.9552947,40.8016506
"92","10027","P.S. 242 - The Young Diplomats Magnet Academy",-73.9483347,40.8061739
"93","10024","M.S. 243 Center School",-73.9737516,40.7850013
"94","10024","M.S. M245 The Computer School",-73.9777601,40.7809964
"95","10024","M.S. M247 Dual Language Middle School",-73.977713,40.781031
"96","10025","M.S. 250 West Side Collaborative Middle School",-73.9739578,40.7952089
"97","94549","Lafayette Academy",-122.1093912,37.8940421
"98","10025","Community Action School - MS 258",-73.9709183,40.7914683
"99","10023","West End Secondary School",-73.9882753,40.7724358
"100","10025","P.S. 333 Manhattan School for Children",-73.9710706,40.7913568
"101","10024","The Anderson School",-73.9777227,40.7809326
"102","10026","Wadleigh Secondary School for the Performing & Vis",-73.9541403,40.8025744
"103","89106","West Prep Academy",-115.1666361,36.1937979
"104","10023","P.S. 452",-73.987663,40.771963
"105","10023","Special Music School",-73.9831573,40.7752064
"106","10026","Frederick Douglass Academy II Secondary School",-73.9541214,40.8025691
"107","10025","Mott Hall II",-73.9661354,40.80288
"108","10035","P.S. 007 Samuel Stern",-73.939617,40.8009638
"109","10029","Tag Young Scholars",-73.9417246,40.7924857
"110","10035","River East Elementary",-73.9335415,40.7991505
"111","10029","P.S. 38 Roberto Clemente",-73.9447655,40.7886837
"112","10029","P.S. 050 Vito Marcantonio",-73.940784,40.7856665
"113","32254","James Weldon Johnson",-81.7241991,30.3433125
"114","10029","The Lexington Academy",-73.9474149,40.7913911
"115","10029","P.S. 083 Luis Munoz Rivera",-73.9418125,40.7931298
"116","10035","P.S. 096 Joseph Lanzetta",-73.9373659,40.8000808
"117","10029","P.S. 102 Jacques Cartier",-73.9383555,40.7948658
"118","10029","P.S. 108 Assemblyman Angelo Del Toro Educational C",-73.9478722,40.7950349
"119","10029","P.S. 146 Ann M. Short",-73.9388211,40.7894561
"120","10035","P.S. 155 William Paca",-73.9361434,40.7975166
"121","10029","P.S. 171 Patrick Henry",-73.9514673,40.7923195
"122","10029","The Bilingual Bicultural School",-73.9425762,40.7933109
"123","10035","P.S. 206 Jose Celso Barbosa",-73.9302216,40.7970528
"124","10029","M.S. 224 Manhattan East School for Arts & Academic",-73.9421608,40.785168
"125","10029","Esperanza Preparatory Academy",-73.9421359,40.792727
"126","10029","Mosaic Preparatory Academy",-73.9448364,40.7960167
"127",NA,"Renaissance School of the Arts",-80.5157807,43.4891809
"128","10035","Global Technology Preparatory",-73.9393232,40.8007951
"129","10029","Central Park East I",-73.9491583,40.7936899
"130","75051","Young Women's Leadership School",-96.988641,32.722019
"131","10029","Isaac Newton Middle School for Math & Science",-73.9329052,40.7940732
"132","10029","Central Park East II",-73.9407279,40.7857678
"133","10035","P.S. 030 Hernandez/Hughes",-73.9354597,40.8056551
"134","10027","P.S. 036 Margaret Douglas",-73.9575914,40.8105805
