Zipcode,Enrollment,CLASS.Emotional.Support.Score,CLASS.Instructional.Support.Score,Total.ECERS,Max.Score,Year,Number
10001,22.83333333,6.24,2.66,49.28333333,60.3,2016,6
10002,34.23076923,6.356,2.604,47.20769231,65.8,2016,28
10003,29.5,6.7,2.75,52.95,58.4,2016,2
10004,22,6.566666667,2.866666667,59.86666667,68.8,2016,3
10007,40,6.9,4.7,54.1,54.1,2016,1
10009,24.84615385,6.66,3.02,46.02666667,63,2016,15
10010,14,6.4,3.3,58.5,58.5,2016,1
10011,42.4,6.75,2.75,53,64.9,2016,6
10012,28,6.65,3.7,56.05,61.7,2016,2
10013,19.28571429,6.714285714,3.342857143,52.01428571,60.1,2016,7
10014,50,5.3,2.4,47.4,47.4,2016,1
10016,43,6.45,2.65,57,69.1,2016,4
10018,10,6.9,4.4,45,45,2016,1
10019,40.33333333,6.633333333,3.266666667,47.2,52.4,2016,3
10021,57.5,6.6,3,46.6,46.6,2016,2
10022,NA,6,3.6,NA,NA,2016,1
10023,25.6,6.46,3.82,54.36,63.4,2016,5
10024,20.625,6.4625,2.3375,42.9875,51.7,2016,8
10025,26.78571429,6.330769231,2.815384615,50.21333333,62.8,2016,15
10026,26.77777778,6.388888889,2.844444444,47.93333333,62.2,2016,10
10027,37.38888889,6.3625,3.34375,44.07222222,65,2016,18
10028,31.33333333,6.8,3.2,54.5,59.9,2016,3
10029,25.23529412,6.234482759,2.803448276,48,58.4,2016,35
10030,29.28571429,6.1125,3.525,41.01428571,48.9,2016,8
10031,33.83333333,5.933333333,2.566666667,50.81666667,57.2,2016,6
10032,43.75,6.518181818,3.181818182,52.175,57.7,2016,12
10033,48.08333333,6.336363636,2.636363636,52.23846154,67.5,2016,13
10034,42.71428571,6.385714286,2.914285714,47.97142857,58.3,2016,7
10035,22.42857143,6.108333333,3.183333333,48.65714286,59.8,2016,14
10036,37,6.666666667,3.466666667,50.2,67.1,2016,3
10037,16.66666667,5.12,2.42,51.37142857,57.6,2016,7
10038,36,6.4,2.8,48.4,70.5,2016,7
10039,23.75,6.242857143,3.371428571,47.15,58.6,2016,8
10040,50,6.583333333,3.016666667,50.46,66.8,2016,6
10044,37.5,NA,NA,52.4,54.6,2016,2
10065,22,6.5,2.466666667,48.575,56.1,2016,4
10075,71,6.9,2.2,42.5,42.5,2016,1
10128,31.33333333,6.5,3.5,46.1,53.3,2016,3
10280,35,6.8,3.9,55.2,55.2,2016,1
10282,36,6.7,3,49.8,49.8,2016,1
10301,39.54545455,6.14,2.98,53.64545455,66.8,2016,11
10302,41.33333333,5.966666667,2.666666667,51.3,58.3,2016,4
10303,28.28571429,6.285714286,2.742857143,52.45714286,57.8,2016,7
10304,36,5.955555556,2.644444444,54.03,65.1,2016,10
10305,29.9,6.622222222,2.666666667,51.86,66.8,2016,11
10306,29.84615385,6.577777778,3.144444444,58.00769231,66.5,2016,14
10307,27.25,6.65,3.2,58.1,61.7,2016,4
10308,38.8,6.65,3.625,47.28333333,59.9,2016,6
10309,27.3,6.5875,3.4125,53.7,58.5,2016,10
10310,36.09090909,6.43,2.71,51.90909091,59.9,2016,11
10312,51.8,6.625,3.2375,50.67,61.7,2016,10
10314,31.92,6.605263158,3.1,52.492,65.2,2016,25
10451,35,6.261538462,3.069230769,44.05333333,57.9,2016,15
10452,57.64705882,6.282352941,3.141176471,48.58823529,66.5,2016,18
10453,42.42857143,6.205263158,2.984210526,47.47619048,64.2,2016,22
10454,34.57894737,6.488235294,3.135294118,46.28095238,65.7,2016,21
10455,38.64285714,6.32,3.66,52.85,64.9,2016,16
10456,34.96153846,5.986363636,2.85,46.83703704,57.7,2016,28
10457,32.28125,6.203125,3.078125,47.18125,62.9,2016,34
10458,68,6.25,3.03,54.05454545,62,2016,11
10459,41.41666667,6.227272727,2.854545455,41.5,53.2,2016,13
10460,35.38888889,6.216666667,3.472222222,47.37777778,58.5,2016,20
10461,51.16666667,6.475,3.391666667,54.13333333,62.1,2016,12
10462,54.90909091,6.45,3.32,55.64545455,64.3,2016,11
10463,39,6.407692308,3.392307692,50.96315789,71.5,2016,19
10464,14,6.9,3.3,51,51,2016,1
10465,36.7,6.355555556,2.611111111,50.03,62.5,2016,10
10466,43.3,6.368421053,3.031578947,48.505,67,2016,20
10467,49.68181818,6.242105263,2.973684211,50.77727273,63.5,2016,22
10468,43.07142857,6.358333333,3.116666667,49.83571429,66.1,2016,15
10469,43.84615385,6.3,3.327272727,51.87692308,65.9,2016,13
