"","Zipcode","Enrollment","CLASS.Emotional.Support.Score","CLASS.Instructional.Support.Score","Total.ECERS","Max.Score","Year","Number"
"32",10038,36,6.4,2.8,48.4,70.5,2016,7
"33",10039,23.75,6.242857143,3.371428571,47.15,58.6,2016,8
"34",10040,50,6.583333333,3.016666667,50.46,66.8,2016,6
"35",10044,37.5,NA,NA,52.4,54.6,2016,2
"36",10065,22,6.5,2.466666667,48.575,56.1,2016,4
"37",10075,71,6.9,2.2,42.5,42.5,2016,1
"38",10128,31.33333333,6.5,3.5,46.1,53.3,2016,3
"39",10280,35,6.8,3.9,55.2,55.2,2016,1
"40",10282,36,6.7,3,49.8,49.8,2016,1
"41",10301,39.54545455,6.14,2.98,53.64545455,66.8,2016,11
"42",10302,41.33333333,5.966666667,2.666666667,51.3,58.3,2016,4
"43",10303,28.28571429,6.285714286,2.742857143,52.45714286,57.8,2016,7
"44",10304,36,5.955555556,2.644444444,54.03,65.1,2016,10
"45",10305,29.9,6.622222222,2.666666667,51.86,66.8,2016,11
"46",10306,29.84615385,6.577777778,3.144444444,58.00769231,66.5,2016,14
"47",10307,27.25,6.65,3.2,58.1,61.7,2016,4
"48",10308,38.8,6.65,3.625,47.28333333,59.9,2016,6
"49",10309,27.3,6.5875,3.4125,53.7,58.5,2016,10
"50",10310,36.09090909,6.43,2.71,51.90909091,59.9,2016,11
"51",10312,51.8,6.625,3.2375,50.67,61.7,2016,10
"52",10314,31.92,6.605263158,3.1,52.492,65.2,2016,25
"53",10451,35,6.261538462,3.069230769,44.05333333,57.9,2016,15
"54",10452,57.64705882,6.282352941,3.141176471,48.58823529,66.5,2016,18
"55",10453,42.42857143,6.205263158,2.984210526,47.47619048,64.2,2016,22
"56",10454,34.57894737,6.488235294,3.135294118,46.28095238,65.7,2016,21
"57",10455,38.64285714,6.32,3.66,52.85,64.9,2016,16
"58",10456,34.96153846,5.986363636,2.85,46.83703704,57.7,2016,28
"59",10457,32.28125,6.203125,3.078125,47.18125,62.9,2016,34
"60",10458,68,6.25,3.03,54.05454545,62,2016,11
"61",10459,41.41666667,6.227272727,2.854545455,41.5,53.2,2016,13
"62",10460,35.38888889,6.216666667,3.472222222,47.37777778,58.5,2016,20
"63",10461,51.16666667,6.475,3.391666667,54.13333333,62.1,2016,12
"64",10462,54.90909091,6.45,3.32,55.64545455,64.3,2016,11
"65",10463,39,6.407692308,3.392307692,50.96315789,71.5,2016,19
"66",10464,14,6.9,3.3,51,51,2016,1
"67",10465,36.7,6.355555556,2.611111111,50.03,62.5,2016,10
"68",10466,43.3,6.368421053,3.031578947,48.505,67,2016,20
"69",10467,49.68181818,6.242105263,2.973684211,50.77727273,63.5,2016,22
"70",10468,43.07142857,6.358333333,3.116666667,49.83571429,66.1,2016,15
"71",10469,43.84615385,6.3,3.327272727,51.87692308,65.9,2016,13
"72",10470,50.33333333,6.9,3,51.06666667,61.8,2016,3
"73",10471,48.14285714,6.442857143,3.342857143,52.775,61.4,2016,8
"74",10472,41.2,6.418181818,3.327272727,48.72666667,58.6,2016,15
"75",10473,39.58333333,6.253846154,2.723076923,42.93846154,60.7,2016,14
"76",10474,70,5.6,2.1,52.75,54,2016,2
"77",10475,37,6.56,3.74,45.76666667,60.5,2016,6
"78",11001,36,NA,NA,55.8,55.8,2016,1
"79",11004,45,6.8,2.6,52.9,58.6,2016,2
"80",11101,43.625,6.4875,2.9625,58.9875,68.6,2016,8
"81",11102,27.75,6.657142857,3.314285714,57.12222222,66.1,2016,9
"82",11103,50.66666667,6.716666667,2.7,56.76666667,61.7,2016,6
"83",11104,32.88888889,6.6,2.914285714,56.1,67.9,2016,9
"84",11105,39.625,6.671428571,3.157142857,57.3,68,2016,8
"85",11106,23.14285714,6.466666667,3.1,56.22222222,65.6,2016,10
"86",11109,35,6.9,3.5,61.5,61.5,2016,1
"87",11201,28.86666667,6.661538462,3.453846154,50.65625,65.6,2016,17
"88",11203,33.7037037,5.996153846,3.042307692,48.92903226,65.8,2016,31
"89",11204,41.48,6.4,3.011111111,53.25416667,69.6,2016,25
"90",11205,28.36363636,6.511111111,3.088888889,49.80833333,60,2016,13
"91",11206,29.75,6.275,3.15,52.61818182,72,2016,22
"92",11207,35.88888889,6.315384615,2.973076923,49.38148148,64.8,2016,29
"93",11208,41.04,6.005,2.825,47.44230769,63.4,2016,27
"94",11209,51,6.672727273,3.381818182,57.49090909,67.7,2016,11
"95",11210,28.375,6.235294118,3.370588235,46.16470588,62.7,2016,17
"96",11211,32.52941176,6.506666667,3.386666667,53.26842105,69.3,2016,20
"97",11212,35.76,6.169565217,3.413043478,46.348,66.5,2016,25
"98",11213,37.125,6.135714286,3.021428571,48.86875,66.2,2016,17
"99",11214,55.08333333,6.618181818,3.381818182,56.00833333,71.2,2016,13
"100",11215,48.94117647,6.614285714,3.264285714,52.02352941,59.6,2016,17
"101",11216,24.53333333,6.338461538,3.415384615,46.88666667,65.4,2016,15
"102",11217,50.125,6.4875,2.9125,50.32857143,62.3,2016,8
"103",11218,40.45,6.53,3.665,52.99047619,71.9,2016,23
"104",11219,43.04347826,6.559090909,3.663636364,54.85,64.4,2016,24
"105",11220,64.8,6.15,3.138888889,53.03,64.8,2016,22
"106",11221,28.56666667,6.206451613,3.090322581,50.56451613,61.4,2016,34
"107",11222,41.5,5.766666667,3.066666667,50.35714286,62.9,2016,7
"108",11223,44.4,6.475,3.48125,48.43,65.5,2016,20
"109",11224,30.69230769,6.475,3.416666667,46.90833333,66.3,2016,13
"110",11225,35.71428571,6.121428571,3.307142857,52.95,67.5,2016,14
"111",11226,33.69565217,6.3375,3.3,47.83181818,63,2016,25
"112",11228,51.1,6.6,3.477777778,55.86363636,66.5,2016,11
"113",11229,39.72222222,6.441176471,3.247058824,51.05,62.8,2016,19
"114",11230,39.78947368,6.427777778,3.822222222,52.71,64.5,2016,20
"115",11231,34.22222222,6.4625,3.3625,47.47777778,61.8,2016,10
"116",11232,50.44444444,6.488888889,3.266666667,52.46666667,64.4,2016,9
"117",11233,26.34782609,6.135,3.05,47.59565217,62.4,2016,23
"118",11234,35.21428571,6.727272727,3.936363636,48.29285714,69.8,2016,14
"119",11235,36.375,6.545833333,3.283333333,52.25833333,68.5,2016,25
"120",11236,45.22222222,6.35,3.055555556,48.97368421,63,2016,20
"121",11237,44.55555556,6.414285714,3.642857143,53.26666667,64.9,2016,9
"122",11238,47.5,6,2.85,51.9,65.1,2016,9
"123",11239,38.2,6.34,2.82,53.7,62.4,2016,5
"124",11249,32,6.633333333,3.866666667,56.23333333,61.5,2016,3
"125",11354,37.05263158,6.36875,3.11875,52.11578947,65.2,2016,19
"126",11355,47.5,6.372222222,2.977777778,55.53888889,65.7,2016,18
"127",11356,45,6.7,3.9,50.05,50.1,2016,2
"128",11357,47.11111111,6.671428571,3.371428571,53.46666667,61.1,2016,9
"129",11358,34.08333333,6.663636364,3.409090909,54.45833333,62.5,2016,12
"130",11360,33.66666667,6,2.35,53.2,58.3,2016,3
"131",11361,35.81818182,6.690909091,3.218181818,50.45454545,63.4,2016,11
"132",11362,39.5,6.76,3.52,59.98333333,65.6,2016,6
"133",11363,30,6.8,3.966666667,61.26666667,63.9,2016,3
"134",11364,40.77777778,6.84,3.44,54.64444444,61.2,2016,9
"135",11365,29.3,6.31,3.18,52.6,69.6,2016,11
"136",11366,28.14285714,6.58,3.14,56.05714286,63.1,2016,7
"137",11367,41,6.177777778,3.166666667,54.2,67.2,2016,11
"138",11368,48.66666667,6.5,2.85,57.312,73.3,2016,26
"139",11369,50.54545455,6.57,3.02,57.80909091,63.3,2016,11
"140",11372,59.84615385,6.436363636,3.354545455,52.77692308,64,2016,13
"141",11373,53.25,6.370588235,3.094117647,55.08636364,69.8,2016,22
"142",11374,38.81818182,6.75,3.75,55.24545455,68.3,2016,11
"143",11375,44.78571429,6.438461538,2.946153846,54.37333333,71.4,2016,16
"144",11377,38.95,6.552631579,2.757894737,56.16,69.2,2016,20
"145",11378,32.5,6.62,3.16,60.25,70.2,2016,6
"146",11379,37.625,6.357142857,2.928571429,58.9125,69.8,2016,8
"147",11385,41.57894737,6.588235294,3.247058824,58.585,71.1,2016,21
"148",11411,37.6,6.333333333,2.283333333,57.05,65.5,2016,6
"149",11412,36.4,6.3,3.05,52.65,67.5,2016,10
"150",11413,31.875,6.45,2.7375,46.1875,62.4,2016,8
"151",11414,31.66666667,6.75,3.425,58.45,64.4,2016,6
"152",11415,47,6.483333333,3.133333333,57.01666667,64.1,2016,6
"153",11416,82,6.275,2.85,57.12,63,2016,5
"154",11417,38,6.5,3.8,55.95,57.1,2016,2
"155",11418,35.54545455,6.554545455,3.463636364,56.83076923,69.9,2016,14
"156",11419,23.61538462,6.415384615,3.084615385,53.52307692,68.2,2016,13
"157",11420,31.27272727,6.65,3.4375,56.54545455,64.6,2016,11
"158",11421,51.5,6.3875,2.9625,55.66666667,61.1,2016,8
"159",11422,41.83333333,6.25,3.333333333,52,59.5,2016,6
"160",11423,31.33333333,6.54,2.34,50.95,57.4,2016,6
"161",11426,37.5,6.466666667,2.466666667,60.625,62.3,2016,4
"162",11427,43,6.425,2.85,50.2,56.5,2016,4
"163",11428,48,6.475,2.85,52.95,58.9,2016,4
"164",11429,38.83333333,6.62,3.24,54.76666667,62.9,2016,6
"165",11430,27,7,2.3,59.1,59.1,2016,1
"166",11432,38.9,6.488888889,3.377777778,51.72857143,65.6,2016,21
"167",11433,35.5,6.4375,2.5625,50.46666667,63.8,2016,9
"168",11434,33.10526316,6.505555556,3.316666667,48.34736842,60.2,2016,19
"169",11435,38.30769231,6.4,2.638461538,51.31428571,68.7,2016,14
"170",11436,30.25,6.6,4.2,48.65,56.1,2016,4
"171",11451,14,NA,NA,45.2,45.2,2016,1
"172",11691,45.84615385,6.45,2.8,49.75384615,64.8,2016,13
"173",11692,31.83333333,6.2,3.2,45,56.9,2016,6
"174",11693,20.33333333,6.75,4,52.625,55.9,2016,4
"175",11694,33,6.65,3.15,54.6,62.5,2016,4
"176",11697,36,NA,NA,48.2,48.2,2016,1
"177",10001,22.83333333,6.24,2.66,49.28333333,60.3,2017,6
"178",10002,34.23076923,6.356,2.604,47.20769231,65.8,2017,28
"179",10003,29.5,6.7,2.75,52.95,58.4,2017,2
"180",10004,22,6.566666667,2.866666667,59.86666667,68.8,2017,3
"181",10007,40,6.9,4.7,54.1,54.1,2017,1
"182",10009,24.84615385,6.66,3.02,46.02666667,63,2017,15
"183",10010,14,6.4,3.3,58.5,58.5,2017,1
"184",10011,42.4,6.75,2.75,53,64.9,2017,6
"185",10012,28,6.65,3.7,56.05,61.7,2017,2
"186",10013,19.28571429,6.714285714,3.342857143,52.01428571,60.1,2017,7
"187",10014,50,5.3,2.4,47.4,47.4,2017,1
"188",10016,43,6.45,2.65,57,69.1,2017,4
"189",10018,10,6.9,4.4,45,45,2017,1
"190",10019,40.33333333,6.633333333,3.266666667,47.2,52.4,2017,3
"191",10021,57.5,6.6,3,46.6,46.6,2017,2
"192",10022,NA,6,3.6,NA,NA,2017,1
"193",10023,25.6,6.46,3.82,54.36,63.4,2017,5
"194",10024,20.625,6.4625,2.3375,42.9875,51.7,2017,8
"195",10025,26.78571429,6.330769231,2.815384615,50.21333333,62.8,2017,15
"196",10026,26.77777778,6.388888889,2.844444444,47.93333333,62.2,2017,10
"197",10027,37.38888889,6.3625,3.34375,44.07222222,65,2017,18
"198",10028,31.33333333,6.8,3.2,54.5,59.9,2017,3
"199",10029,25.23529412,6.234482759,2.803448276,48,58.4,2017,35
"200",10030,29.28571429,6.1125,3.525,41.01428571,48.9,2017,8
"201",10031,33.83333333,5.933333333,2.566666667,50.81666667,57.2,2017,6
"202",10032,43.75,6.518181818,3.181818182,52.175,57.7,2017,12
"203",10033,48.08333333,6.336363636,2.636363636,52.23846154,67.5,2017,13
"204",10034,42.71428571,6.385714286,2.914285714,47.97142857,58.3,2017,7
"205",10035,22.42857143,6.108333333,3.183333333,48.65714286,59.8,2017,14
"206",10036,37,6.666666667,3.466666667,50.2,67.1,2017,3
"207",10037,16.66666667,5.12,2.42,51.37142857,57.6,2017,7
"208",10038,36,6.4,2.8,48.4,70.5,2017,7
"209",10039,23.75,6.242857143,3.371428571,47.15,58.6,2017,8
"210",10040,50,6.583333333,3.016666667,50.46,66.8,2017,6
"211",10044,37.5,NA,NA,52.4,54.6,2017,2
"212",10065,22,6.5,2.466666667,48.575,56.1,2017,4
"213",10075,71,6.9,2.2,42.5,42.5,2017,1
"214",10128,31.33333333,6.5,3.5,46.1,53.3,2017,3
"215",10280,35,6.8,3.9,55.2,55.2,2017,1
"216",10282,36,6.7,3,49.8,49.8,2017,1
"217",10301,39.54545455,6.14,2.98,53.64545455,66.8,2017,11
"218",10302,41.33333333,5.966666667,2.666666667,51.3,58.3,2017,4
"219",10303,28.28571429,6.285714286,2.742857143,52.45714286,57.8,2017,7
"220",10304,36,5.955555556,2.644444444,54.03,65.1,2017,10
"221",10305,29.9,6.622222222,2.666666667,51.86,66.8,2017,11
"222",10306,29.84615385,6.577777778,3.144444444,58.00769231,66.5,2017,14
"223",10307,27.25,6.65,3.2,58.1,61.7,2017,4
"224",10308,38.8,6.65,3.625,47.28333333,59.9,2017,6
"225",10309,27.3,6.5875,3.4125,53.7,58.5,2017,10
"226",10310,36.09090909,6.43,2.71,51.90909091,59.9,2017,11
"227",10312,51.8,6.625,3.2375,50.67,61.7,2017,10
"228",10314,31.92,6.605263158,3.1,52.492,65.2,2017,25
"229",10451,35,6.261538462,3.069230769,44.05333333,57.9,2017,15
"230",10452,57.64705882,6.282352941,3.141176471,48.58823529,66.5,2017,18
"231",10453,42.42857143,6.205263158,2.984210526,47.47619048,64.2,2017,22
"232",10454,34.57894737,6.488235294,3.135294118,46.28095238,65.7,2017,21
"233",10455,38.64285714,6.32,3.66,52.85,64.9,2017,16
"234",10456,34.96153846,5.986363636,2.85,46.83703704,57.7,2017,28
"235",10457,32.28125,6.203125,3.078125,47.18125,62.9,2017,34
"236",10458,68,6.25,3.03,54.05454545,62,2017,11
"237",10459,41.41666667,6.227272727,2.854545455,41.5,53.2,2017,13
"238",10460,35.38888889,6.216666667,3.472222222,47.37777778,58.5,2017,20
"239",10461,51.16666667,6.475,3.391666667,54.13333333,62.1,2017,12
"240",10462,54.90909091,6.45,3.32,55.64545455,64.3,2017,11
"241",10463,39,6.407692308,3.392307692,50.96315789,71.5,2017,19
"242",10464,14,6.9,3.3,51,51,2017,1
"243",10465,36.7,6.355555556,2.611111111,50.03,62.5,2017,10
"244",10466,43.3,6.368421053,3.031578947,48.505,67,2017,20
"245",10467,49.68181818,6.242105263,2.973684211,50.77727273,63.5,2017,22
"246",10468,43.07142857,6.358333333,3.116666667,49.83571429,66.1,2017,15
"247",10469,43.84615385,6.3,3.327272727,51.87692308,65.9,2017,13
"248",10470,50.33333333,6.9,3,51.06666667,61.8,2017,3
"249",10471,48.14285714,6.442857143,3.342857143,52.775,61.4,2017,8
"250",10472,41.2,6.418181818,3.327272727,48.72666667,58.6,2017,15
"251",10473,39.58333333,6.253846154,2.723076923,42.93846154,60.7,2017,14
"252",10474,70,5.6,2.1,52.75,54,2017,2
"253",10475,37,6.56,3.74,45.76666667,60.5,2017,6
"254",11001,36,NA,NA,55.8,55.8,2017,1
"255",11004,45,6.8,2.6,52.9,58.6,2017,2
"256",11101,43.625,6.4875,2.9625,58.9875,68.6,2017,8
"257",11102,27.75,6.657142857,3.314285714,57.12222222,66.1,2017,9
"258",11103,50.66666667,6.716666667,2.7,56.76666667,61.7,2017,6
"259",11104,32.88888889,6.6,2.914285714,56.1,67.9,2017,9
"260",11105,39.625,6.671428571,3.157142857,57.3,68,2017,8
"261",11106,23.14285714,6.466666667,3.1,56.22222222,65.6,2017,10
"262",11109,35,6.9,3.5,61.5,61.5,2017,1
"263",11201,28.86666667,6.661538462,3.453846154,50.65625,65.6,2017,17
"264",11203,33.7037037,5.996153846,3.042307692,48.92903226,65.8,2017,31
"265",11204,41.48,6.4,3.011111111,53.25416667,69.6,2017,25
"266",11205,28.36363636,6.511111111,3.088888889,49.80833333,60,2017,13
"267",11206,29.75,6.275,3.15,52.61818182,72,2017,22
"268",11207,35.88888889,6.315384615,2.973076923,49.38148148,64.8,2017,29
"269",11208,41.04,6.005,2.825,47.44230769,63.4,2017,27
"270",11209,51,6.672727273,3.381818182,57.49090909,67.7,2017,11
"271",11210,28.375,6.235294118,3.370588235,46.16470588,62.7,2017,17
"272",11211,32.52941176,6.506666667,3.386666667,53.26842105,69.3,2017,20
"273",11212,35.76,6.169565217,3.413043478,46.348,66.5,2017,25
"274",11213,37.125,6.135714286,3.021428571,48.86875,66.2,2017,17
"275",11214,55.08333333,6.618181818,3.381818182,56.00833333,71.2,2017,13
"276",11215,48.94117647,6.614285714,3.264285714,52.02352941,59.6,2017,17
"277",11216,24.53333333,6.338461538,3.415384615,46.88666667,65.4,2017,15
"278",11217,50.125,6.4875,2.9125,50.32857143,62.3,2017,8
"279",11218,40.45,6.53,3.665,52.99047619,71.9,2017,23
"280",11219,43.04347826,6.559090909,3.663636364,54.85,64.4,2017,24
"281",11220,64.8,6.15,3.138888889,53.03,64.8,2017,22
"282",11221,28.56666667,6.206451613,3.090322581,50.56451613,61.4,2017,34
"283",11222,41.5,5.766666667,3.066666667,50.35714286,62.9,2017,7
"284",11223,44.4,6.475,3.48125,48.43,65.5,2017,20
"285",11224,30.69230769,6.475,3.416666667,46.90833333,66.3,2017,13
"286",11225,35.71428571,6.121428571,3.307142857,52.95,67.5,2017,14
"287",11226,33.69565217,6.3375,3.3,47.83181818,63,2017,25
"288",11228,51.1,6.6,3.477777778,55.86363636,66.5,2017,11
"289",11229,39.72222222,6.441176471,3.247058824,51.05,62.8,2017,19
"290",11230,39.78947368,6.427777778,3.822222222,52.71,64.5,2017,20
"291",11231,34.22222222,6.4625,3.3625,47.47777778,61.8,2017,10
"292",11232,50.44444444,6.488888889,3.266666667,52.46666667,64.4,2017,9
"293",11233,26.34782609,6.135,3.05,47.59565217,62.4,2017,23
"294",11234,35.21428571,6.727272727,3.936363636,48.29285714,69.8,2017,14
"295",11235,36.375,6.545833333,3.283333333,52.25833333,68.5,2017,25
"296",11236,45.22222222,6.35,3.055555556,48.97368421,63,2017,20
"297",11237,44.55555556,6.414285714,3.642857143,53.26666667,64.9,2017,9
"298",11238,47.5,6,2.85,51.9,65.1,2017,9
"299",11239,38.2,6.34,2.82,53.7,62.4,2017,5
"300",11249,32,6.633333333,3.866666667,56.23333333,61.5,2017,3
"301",11354,37.05263158,6.36875,3.11875,52.11578947,65.2,2017,19
"302",11355,47.5,6.372222222,2.977777778,55.53888889,65.7,2017,18
"303",11356,45,6.7,3.9,50.05,50.1,2017,2
"304",11357,47.11111111,6.671428571,3.371428571,53.46666667,61.1,2017,9
"305",11358,34.08333333,6.663636364,3.409090909,54.45833333,62.5,2017,12
"306",11360,33.66666667,6,2.35,53.2,58.3,2017,3
"307",11361,35.81818182,6.690909091,3.218181818,50.45454545,63.4,2017,11
"308",11362,39.5,6.76,3.52,59.98333333,65.6,2017,6
"309",11363,30,6.8,3.966666667,61.26666667,63.9,2017,3
"310",11364,40.77777778,6.84,3.44,54.64444444,61.2,2017,9
"311",11365,29.3,6.31,3.18,52.6,69.6,2017,11
"312",11366,28.14285714,6.58,3.14,56.05714286,63.1,2017,7
"313",11367,41,6.177777778,3.166666667,54.2,67.2,2017,11
"314",11368,48.66666667,6.5,2.85,57.312,73.3,2017,26
"315",11369,50.54545455,6.57,3.02,57.80909091,63.3,2017,11
"316",11372,59.84615385,6.436363636,3.354545455,52.77692308,64,2017,13
"317",11373,53.25,6.370588235,3.094117647,55.08636364,69.8,2017,22
"318",11374,38.81818182,6.75,3.75,55.24545455,68.3,2017,11
"319",11375,44.78571429,6.438461538,2.946153846,54.37333333,71.4,2017,16
"320",11377,38.95,6.552631579,2.757894737,56.16,69.2,2017,20
"321",11378,32.5,6.62,3.16,60.25,70.2,2017,6
"322",11379,37.625,6.357142857,2.928571429,58.9125,69.8,2017,8
"323",11385,41.57894737,6.588235294,3.247058824,58.585,71.1,2017,21
"324",11411,37.6,6.333333333,2.283333333,57.05,65.5,2017,6
"325",11412,36.4,6.3,3.05,52.65,67.5,2017,10
"326",11413,31.875,6.45,2.7375,46.1875,62.4,2017,8
"327",11414,31.66666667,6.75,3.425,58.45,64.4,2017,6
"328",11415,47,6.483333333,3.133333333,57.01666667,64.1,2017,6
"329",11416,82,6.275,2.85,57.12,63,2017,5
"330",11417,38,6.5,3.8,55.95,57.1,2017,2
"331",11418,35.54545455,6.554545455,3.463636364,56.83076923,69.9,2017,14
"332",11419,23.61538462,6.415384615,3.084615385,53.52307692,68.2,2017,13
"333",11420,31.27272727,6.65,3.4375,56.54545455,64.6,2017,11
"334",11421,51.5,6.3875,2.9625,55.66666667,61.1,2017,8
"335",11422,41.83333333,6.25,3.333333333,52,59.5,2017,6
"336",11423,31.33333333,6.54,2.34,50.95,57.4,2017,6
"337",11426,37.5,6.466666667,2.466666667,60.625,62.3,2017,4
"338",11427,43,6.425,2.85,50.2,56.5,2017,4
"339",11428,48,6.475,2.85,52.95,58.9,2017,4
"340",11429,38.83333333,6.62,3.24,54.76666667,62.9,2017,6
"341",11430,27,7,2.3,59.1,59.1,2017,1
"342",11432,38.9,6.488888889,3.377777778,51.72857143,65.6,2017,21
"343",11433,35.5,6.4375,2.5625,50.46666667,63.8,2017,9
"344",11434,33.10526316,6.505555556,3.316666667,48.34736842,60.2,2017,19
"345",11435,38.30769231,6.4,2.638461538,51.31428571,68.7,2017,14
"346",11436,30.25,6.6,4.2,48.65,56.1,2017,4
"347",11451,14,NA,NA,45.2,45.2,2017,1
"348",11691,45.84615385,6.45,2.8,49.75384615,64.8,2017,13
"349",11692,31.83333333,6.2,3.2,45,56.9,2017,6
"350",11693,20.33333333,6.75,4,52.625,55.9,2017,4
"351",11694,33,6.65,3.15,54.6,62.5,2017,4
"352",11697,36,NA,NA,48.2,48.2,2017,1
"353",10001,22.4,6.74,2.96,53.375,60.2,2018,5
"354",10002,31,6.513043478,2.591304348,48.45,65.8,2018,24
"355",10003,24.5,6.65,3.35,52.35,57.2,2018,2
"356",10004,29,6.566666667,2.866666667,61.56666667,68.8,2018,3
"357",10007,37,6.9,4.4,60.9,67.7,2018,2
"358",10009,26.30769231,6.476923077,2.946153846,47.8,63,2018,13
"359",10010,9,6.9,2.8,58.5,58.5,2018,1
"360",10011,46.2,6.76,2.58,53.52,64.9,2018,5
"361",10012,25.5,6.8,3.5,44.5,44.5,2018,2
"362",10013,19,6.785714286,2.942857143,53.58571429,60.1,2018,7
"363",10014,54,6.7,3.8,47.4,47.4,2018,1
"364",10016,46.75,6.775,3.15,56.25,69.1,2018,4
"365",10017,18,NA,NA,51,51,2018,1
"366",10018,23,6.8,2.5,45,45,2018,1
"367",10019,32.66666667,6.633333333,3.266666667,51.13333333,60.9,2018,3
"368",10021,79,6.9,3.1,56.8,56.8,2018,1
"369",10022,20,NA,NA,55.9,55.9,2018,1
"370",10023,29.66666667,6.85,3.75,55.81666667,63.4,2018,6
"371",10024,18.57142857,6.683333333,2.5,45.94285714,52.6,2018,7
"372",10025,32.69230769,6.721428571,2.828571429,52.13076923,62.8,2018,14
"373",10026,32.14285714,6.557142857,2.914285714,48.72857143,62.2,2018,7
"374",10027,35,6.717647059,3.135294118,45.42777778,65,2018,18
"375",10028,43,6.866666667,3.233333333,55.65,59.9,2018,4
"376",10029,25.33333333,6.570967742,3.05483871,48.38387097,60.9,2018,31
"377",10030,32.6,6.85,3.833333333,54.45,68.8,2018,6
"378",10031,37.8,6.66,2.18,48.52,50.2,2018,5
"379",10032,42.83333333,6.825,3.35,53.025,62.6,2018,12
"380",10033,42.66666667,6.633333333,2.875,51.33333333,67.5,2018,12
"381",10034,37.14285714,6.542857143,2.628571429,54.14285714,60.9,2018,7
"382",10035,23,6.766666667,3.733333333,53.73333333,65.2,2018,12
"383",10036,52,6.65,3.25,37.9,38.2,2018,2
"384",10037,19.16666667,6.4,3.033333333,55.18333333,68.3,2018,6
"385",10038,30.28571429,6.742857143,3.4,52.85714286,70.5,2018,7
"386",10039,27.8,6.8,3.55,50.96666667,55.7,2018,6
"387",10040,48.5,6.76,2.64,57.71666667,66.8,2018,6
"388",10044,40.5,6.85,2.5,52.4,54.6,2018,2
"389",10065,40,6.65,1.75,48.3,56.1,2018,2
"390",10075,72,6.9,2.2,54.4,54.4,2018,1
"391",10128,39.33333333,6.433333333,2.666666667,49.56666667,53.3,2018,3
"392",10280,35,6.8,3.9,55.2,55.2,2018,1
"393",10282,36,6.7,3,49.8,49.8,2018,1
"394",10301,33.54545455,6.618181818,2.881818182,55.9,66.8,2018,11
"395",10302,58,6.6,3.2,51.95,58.3,2018,2
"396",10303,30.16666667,6.65,3.033333333,48.05,57.8,2018,6
"397",10304,39.22222222,6.366666667,3.144444444,56.87777778,65.1,2018,9
"398",10305,37.28571429,6.814285714,2.785714286,53.45714286,68.2,2018,7
"399",10306,28.76923077,6.707692308,2.676923077,57.63846154,67.8,2018,13
"400",10307,31.66666667,6.766666667,3.333333333,60.2,61.7,2018,3
"401",10308,35.6,6.82,2.92,48.52,59.9,2018,5
"402",10309,27.9,6.72,3.46,53.95,62.8,2018,10
"403",10310,40,6.666666667,3.166666667,55.78888889,61.7,2018,9
"404",10312,52.55555556,6.888888889,2.988888889,50.53333333,60.4,2018,9
"405",10314,36.13636364,6.772727273,2.986363636,53.04545455,65.2,2018,22
