"","Zipcode","Enrollment","CLASS.Emotional.Support.Score","CLASS.Instructional.Support.Score","Total.ECERS","Max.Score","Year","Number"
"1",10001,22.83333333,6.24,2.66,49.28333333,60.3,2016,6
"2",10002,34.23076923,6.356,2.604,47.20769231,65.8,2016,28
"3",10003,29.5,6.7,2.75,52.95,58.4,2016,2
"4",10004,22,6.566666667,2.866666667,59.86666667,68.8,2016,3
"5",10007,40,6.9,4.7,54.1,54.1,2016,1
"6",10009,24.84615385,6.66,3.02,46.02666667,63,2016,15
"7",10010,14,6.4,3.3,58.5,58.5,2016,1
"8",10011,42.4,6.75,2.75,53,64.9,2016,6
"9",10012,28,6.65,3.7,56.05,61.7,2016,2
"10",10013,19.28571429,6.714285714,3.342857143,52.01428571,60.1,2016,7
"11",10014,50,5.3,2.4,47.4,47.4,2016,1
"12",10016,43,6.45,2.65,57,69.1,2016,4
"13",10018,10,6.9,4.4,45,45,2016,1
"14",10019,40.33333333,6.633333333,3.266666667,47.2,52.4,2016,3
"15",10021,57.5,6.6,3,46.6,46.6,2016,2
"16",10022,NA,6,3.6,NA,NA,2016,1
"17",10023,25.6,6.46,3.82,54.36,63.4,2016,5
"18",10024,20.625,6.4625,2.3375,42.9875,51.7,2016,8
"19",10025,26.78571429,6.330769231,2.815384615,50.21333333,62.8,2016,15
"20",10026,26.77777778,6.388888889,2.844444444,47.93333333,62.2,2016,10
"21",10027,37.38888889,6.3625,3.34375,44.07222222,65,2016,18
"22",10028,31.33333333,6.8,3.2,54.5,59.9,2016,3
"23",10029,25.23529412,6.234482759,2.803448276,48,58.4,2016,35
"24",10030,29.28571429,6.1125,3.525,41.01428571,48.9,2016,8
"25",10031,33.83333333,5.933333333,2.566666667,50.81666667,57.2,2016,6
"26",10032,43.75,6.518181818,3.181818182,52.175,57.7,2016,12
"27",10033,48.08333333,6.336363636,2.636363636,52.23846154,67.5,2016,13
"28",10034,42.71428571,6.385714286,2.914285714,47.97142857,58.3,2016,7
"29",10035,22.42857143,6.108333333,3.183333333,48.65714286,59.8,2016,14
"30",10036,37,6.666666667,3.466666667,50.2,67.1,2016,3
"31",10037,16.66666667,5.12,2.42,51.37142857,57.6,2016,7
