Zipcode,Enrollment,CLASS.Emotional.Support.Score,CLASS.Instructional.Support.Score,Total.ECERS,Max.Score,Year,Number
10001,22.4,6.74,2.96,53.375,60.2,2018,5
10002,31,6.513043478,2.591304348,48.45,65.8,2018,24
10003,24.5,6.65,3.35,52.35,57.2,2018,2
10004,29,6.566666667,2.866666667,61.56666667,68.8,2018,3
10007,37,6.9,4.4,60.9,67.7,2018,2
10009,26.30769231,6.476923077,2.946153846,47.8,63,2018,13
10010,9,6.9,2.8,58.5,58.5,2018,1
10011,46.2,6.76,2.58,53.52,64.9,2018,5
10012,25.5,6.8,3.5,44.5,44.5,2018,2
10013,19,6.785714286,2.942857143,53.58571429,60.1,2018,7
10014,54,6.7,3.8,47.4,47.4,2018,1
10016,46.75,6.775,3.15,56.25,69.1,2018,4
10017,18,NA,NA,51,51,2018,1
10018,23,6.8,2.5,45,45,2018,1
10019,32.66666667,6.633333333,3.266666667,51.13333333,60.9,2018,3
10021,79,6.9,3.1,56.8,56.8,2018,1
10022,20,NA,NA,55.9,55.9,2018,1
10023,29.66666667,6.85,3.75,55.81666667,63.4,2018,6
10024,18.57142857,6.683333333,2.5,45.94285714,52.6,2018,7
10025,32.69230769,6.721428571,2.828571429,52.13076923,62.8,2018,14
10026,32.14285714,6.557142857,2.914285714,48.72857143,62.2,2018,7
10027,35,6.717647059,3.135294118,45.42777778,65,2018,18
10028,43,6.866666667,3.233333333,55.65,59.9,2018,4
10029,25.33333333,6.570967742,3.05483871,48.38387097,60.9,2018,31
10030,32.6,6.85,3.833333333,54.45,68.8,2018,6
10031,37.8,6.66,2.18,48.52,50.2,2018,5
10032,42.83333333,6.825,3.35,53.025,62.6,2018,12
10033,42.66666667,6.633333333,2.875,51.33333333,67.5,2018,12
10034,37.14285714,6.542857143,2.628571429,54.14285714,60.9,2018,7
10035,23,6.766666667,3.733333333,53.73333333,65.2,2018,12
10036,52,6.65,3.25,37.9,38.2,2018,2
10037,19.16666667,6.4,3.033333333,55.18333333,68.3,2018,6
10038,30.28571429,6.742857143,3.4,52.85714286,70.5,2018,7
10039,27.8,6.8,3.55,50.96666667,55.7,2018,6
10040,48.5,6.76,2.64,57.71666667,66.8,2018,6
10044,40.5,6.85,2.5,52.4,54.6,2018,2
10065,40,6.65,1.75,48.3,56.1,2018,2
10075,72,6.9,2.2,54.4,54.4,2018,1
10128,39.33333333,6.433333333,2.666666667,49.56666667,53.3,2018,3
10280,35,6.8,3.9,55.2,55.2,2018,1
10282,36,6.7,3,49.8,49.8,2018,1
10301,33.54545455,6.618181818,2.881818182,55.9,66.8,2018,11
10302,58,6.6,3.2,51.95,58.3,2018,2
10303,30.16666667,6.65,3.033333333,48.05,57.8,2018,6
10304,39.22222222,6.366666667,3.144444444,56.87777778,65.1,2018,9
10305,37.28571429,6.814285714,2.785714286,53.45714286,68.2,2018,7
10306,28.76923077,6.707692308,2.676923077,57.63846154,67.8,2018,13
10307,31.66666667,6.766666667,3.333333333,60.2,61.7,2018,3
10308,35.6,6.82,2.92,48.52,59.9,2018,5
10309,27.9,6.72,3.46,53.95,62.8,2018,10
10310,40,6.666666667,3.166666667,55.78888889,61.7,2018,9
10312,52.55555556,6.888888889,2.988888889,50.53333333,60.4,2018,9
10314,36.13636364,6.772727273,2.986363636,53.04545455,65.2,2018,22
10451,32.58823529,6.706666667,2.933333333,49.41538462,57.9,2018,17
10452,57.82352941,6.6,2.635294118,50.15882353,66.5,2018,17
10453,39.63157895,6.631578947,2.821052632,50.36315789,64.2,2018,19
10454,30.52941176,6.717647059,3.452941176,53.21333333,65.7,2018,17
10455,32.2,6.692857143,2.764285714,53.18,64.9,2018,15
10456,33.44,6.424,2.696,48.652,65,2018,25
10457,29.29032258,6.373333333,2.8,49.62903226,62.9,2018,31
10458,62.84615385,6.472727273,2.6,55.98461538,65.8,2018,13
10459,49.66666667,6.588888889,2.333333333,48.26666667,59.9,2018,9
10460,37.70588235,6.605882353,2.970588235,49.24705882,61.1,2018,17
10461,52.58333333,6.833333333,3.675,57.5,63.2,2018,12
10462,65.22222222,6.65,3.2875,56.01111111,64.3,2018,9
10463,36.66666667,6.7,2.655555556,52.60952381,71.5,2018,21
10464,13,7,3.1,51,51,2018,1
10465,40.66666667,6.5,2.911111111,56.02222222,62.8,2018,9
10466,44.33333333,6.570588235,2.905882353,51.66111111,67,2018,18
10467,54.6,6.57,3.015,50.42222222,63.5,2018,20
10468,38,6.492307692,2.815384615,47.75,64.1,2018,14
10469,44.9,6.7,2.881818182,52.52727273,65.9,2018,11
10470,52,6.866666667,3.033333333,51.06666667,61.8,2018,3
10471,46.14285714,6.728571429,2.657142857,55.28571429,61.4,2018,7
10472,40.4,6.835714286,3.65,49.69285714,60.2,2018,15
10473,43.81818182,6.636363636,3.063636364,46.70909091,60.7,2018,11
